City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
Raipur,IN,66.09,clear sky,21.2333,81.6333,"Hotel Singhania Sarovar Portico,Raipur"
Saldanha,ZA,59.05,few clouds,-33.0117,17.9442,Saldanha Bay Hotel
Mount Gambier,AU,57.11,scattered clouds,-37.8333,140.7667,Southgate Motel
Shache,CN,30.04,clear sky,38.4167,77.2406,Shache Wanghou Hotel
Coquimbo,CL,63.48,clear sky,-29.9533,-71.3436,apart hotel la herradura
Te Anau,NZ,57.36,few clouds,-45.4167,167.7167,Kingsgate Hotel Te Anau
Victoria,HK,65.32,clear sky,22.2855,114.1577,Park Hotel Hong Kong
Goderich,CA,34.92,light rain,43.7501,-81.7165,Comfort Inn & Suites
Ahipara,NZ,69.89,overcast clouds,-35.1667,173.1667,The Huts
Maryville,US,58.19,broken clouds,35.7565,-83.9705,"Holiday Inn Express & Suites Alcoa (Knoxville Airport), an IHG Hotel"
Concepcion,CL,60.55,broken clouds,-36.827,-73.0498,ibis Concepción
Lata,PT,57.04,overcast clouds,40.1629,-8.3327,
Castro,BR,62.46,overcast clouds,-24.7911,-50.0119,Buganville Palace Hotel
North Platte,US,31.98,clear sky,41.1239,-100.7654,Husker Inn
Halifax,CA,54.09,overcast clouds,44.6453,-63.5724,Atlantica Hotel Halifax
Asau,RO,33.96,broken clouds,46.4333,26.4,
Ozernovskiy,RU,37.36,light rain,51.5,156.5167,
Fortuna,US,51.66,broken clouds,40.5982,-124.1573,Comfort Inn & Suites Redwood Country
Tukrah,LY,60.28,few clouds,32.5341,20.5791,مصيف مرحبا للعائلات
Klaksvik,FO,41.92,overcast clouds,62.2266,-6.589,Hotel Klaksvík
Eskisehir,TR,48.11,broken clouds,39.7767,30.5206,TASİGO Eskişehir
Esperance,AU,55.24,few clouds,-33.8667,121.9,Esperance Chalet Village
Hamilton,US,39.72,clear sky,39.1834,-84.5333,Graduate Cincinnati
Barcelos,PT,57.34,overcast clouds,41.5388,-8.6151,Art'otel Barcelos
Aswan,EG,66.52,clear sky,24.0934,32.907,Sofitel Legend Old Cataract Aswan
Port Lincoln,AU,58.75,overcast clouds,-34.7333,135.8667,Port Lincoln Hotel
Atherton,GB,41.43,light rain,53.5237,-2.4935,Britannia Bolton Hotel
Shiraz,IR,42.24,clear sky,29.6036,52.5388,Hotel Arg Karim Khan Zand
Kruisfontein,ZA,60.89,broken clouds,-34.0033,24.7314,Humansdorp Boutique Hotel
Hualmay,PE,69.08,broken clouds,-11.0964,-77.6139,Gran Hotel La Villa
Vila Franca Do Campo,PT,64.2,overcast clouds,37.7167,-25.4333,Pestana Bahia Praia
San Quintin,MX,66.11,clear sky,30.4833,-115.95,Old Mill Hotel
Port Augusta,AU,64.54,clear sky,-32.5,137.7667,Majestic Oasis Apartments
Constitucion,CL,60.82,broken clouds,-35.3333,-72.4167,Hotel Montt Plaza
Puerto Del Rosario,ES,64.15,broken clouds,28.5004,-13.8627,Hotel El Mirador
Constanta,RO,52.7,overcast clouds,44.1833,28.65,Hotel Oxford Mamaia
Marawi,PH,66.65,overcast clouds,7.9986,124.2928,Marawi Resort Hotel
Zalesovo,RU,31.01,snow,53.9939,84.7431,
Kushima,JP,49.51,clear sky,31.4583,131.2333,Hotel Nakamurasō
Saint-Francois,FR,39.47,light intensity drizzle rain,46.4154,3.9054,
Husavik,IS,31.91,broken clouds,66.0449,-17.3389,Fosshótel Húsavík
Tuatapere,NZ,61.83,clear sky,-46.1333,167.6833,Last Light Lodge
Bonavista,CA,32.11,overcast clouds,48.6499,-53.1147,Hampton House Oceanfront Rental
Twin Falls,US,36.3,light rain,42.3505,-114.6445,
Stary Sacz,PL,34.9,light snow,49.5636,20.635,Hotel Beskid
Castlemaine,AU,65.28,broken clouds,-37.0667,144.2167,Northern Arts Hotel
Half Moon Bay,US,61.95,mist,37.4636,-122.4286,Half Moon Bay Lodge
Batemans Bay,AU,68.92,clear sky,-35.7167,150.1833,Quays Hotel
Minab,IR,63.9,few clouds,27.1467,57.0801,Minab Tourism Hotel
Nemuro,JP,42.3,clear sky,43.3236,145.575,照月旅館
