City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3 hours),Snow inches (last 3 hours)
0,Atuona,PF,2021-12-06 21:29:48,-9.8,-139.0333,78.98,68,16,19.91,few clouds,0,0
1,Kapaa,US,2021-12-06 21:29:49,22.0752,-159.319,73.72,94,90,9.22,heavy intensity rain,0,0
2,Plaster Rock,CA,2021-12-06 21:29:49,46.9065,-67.39,40.59,98,100,18.34,overcast clouds,0,0
3,Kashiwazaki,JP,2021-12-06 21:29:49,37.3667,138.55,42.89,88,100,5.57,overcast clouds,0,0
4,Krasnoznamensk,RU,2021-12-06 21:29:50,55.5994,37.0386,24.84,86,75,13.42,broken clouds,0,0
5,Barzas,RU,2021-12-06 21:29:50,55.7167,86.3167,26.83,95,100,11.03,light snow,0,0
6,Hobart,AU,2021-12-06 21:29:50,-42.8794,147.3294,57.06,89,75,5.75,light rain,0,0
7,Punta Arenas,CL,2021-12-06 21:26:32,-53.15,-70.9167,51.12,85,100,17.63,light rain,0,0
8,Luderitz,NA,2021-12-06 21:29:51,-26.6481,15.1594,64.62,75,0,18.81,clear sky,0,0
9,Busselton,AU,2021-12-06 21:29:51,-33.65,115.3333,56.08,71,0,17.49,clear sky,0,0
10,Nikolskoye,RU,2021-12-06 21:29:52,59.7035,30.7861,4.39,96,100,3.98,light snow,0,0
11,Cherskiy,RU,2021-12-06 21:29:52,68.75,161.3,-25.17,98,100,4.41,overcast clouds,0,0
12,Mar Del Plata,AR,2021-12-06 21:29:10,-38.0023,-57.5575,65.88,80,0,17.0,clear sky,0,0
13,Sorland,NO,2021-12-06 21:29:52,67.667,12.6934,23.07,64,4,14.81,clear sky,0,0
14,Kaitangata,NZ,2021-12-06 21:28:37,-46.2817,169.8464,50.63,85,89,10.09,overcast clouds,0,0
15,Bathsheba,BB,2021-12-06 21:26:07,13.2167,-59.5167,81.21,65,40,19.57,scattered clouds,0,0
16,Mataura,NZ,2021-12-06 21:29:53,-46.1927,168.8643,58.48,55,5,4.14,clear sky,0,0
17,Puerto Ayora,EC,2021-12-06 21:29:53,-0.7393,-90.3518,76.96,75,49,8.55,scattered clouds,0,0
18,Poum,NC,2021-12-06 21:29:54,-20.2333,164.0167,81.16,72,2,9.64,clear sky,0,0
19,Rikitea,PF,2021-12-06 21:27:24,-23.1203,-134.9692,76.12,73,71,7.78,broken clouds,0,0
20,Ahuimanu,US,2021-12-06 21:29:54,21.4447,-157.8378,74.91,83,90,8.05,moderate rain,0,0
21,Chokurdakh,RU,2021-12-06 21:29:55,70.6333,147.9167,-24.65,97,100,2.37,overcast clouds,0,0
22,Tasiilaq,GL,2021-12-06 21:29:55,65.6145,-37.6368,30.36,79,97,10.45,overcast clouds,0,0
23,Salina Cruz,MX,2021-12-06 21:29:55,16.1667,-95.2,87.84,52,0,7.52,clear sky,0,0
24,Puro,PH,2021-12-06 21:26:58,12.4841,123.3827,76.96,77,91,8.63,overcast clouds,0,0
25,Takab,IR,2021-12-06 21:29:56,36.4009,47.1133,33.04,78,1,2.73,clear sky,0,0
26,Korla,CN,2021-12-06 21:29:56,41.7597,86.1469,29.98,45,100,2.3,overcast clouds,0,0
27,Bambous Virieux,MU,2021-12-06 21:29:57,-20.3428,57.7575,79.05,73,40,10.36,scattered clouds,0,0
28,Hithadhoo,MV,2021-12-06 21:29:57,-0.6,73.0833,81.57,78,33,18.45,scattered clouds,0,0
29,Bowen,AU,2021-12-06 21:29:57,-20.0167,148.2333,79.02,72,94,12.21,overcast clouds,0,0
30,Santo Domingo,DO,2021-12-06 21:26:25,18.5001,-69.9886,85.03,71,40,4.0,scattered clouds,0,0
31,Sitka,US,2021-12-06 21:26:10,57.0531,-135.33,31.89,80,90,0.0,overcast clouds,0,0
32,Dikson,RU,2021-12-06 21:27:42,73.5069,80.5464,-16.17,100,64,4.23,broken clouds,0,0
33,Bredasdorp,ZA,2021-12-06 21:29:58,-34.5322,20.0403,56.52,82,14,2.3,few clouds,0,0
34,Harper,LR,2021-12-06 21:29:58,4.375,-7.7169,79.56,83,64,8.79,broken clouds,0,0
35,Songjianghe,CN,2021-12-06 21:29:59,42.1859,127.479,11.62,96,50,3.06,scattered clouds,0,0
36,Torbay,CA,2021-12-06 21:29:59,47.6666,-52.7314,32.58,75,75,3.44,broken clouds,0,0
37,La Ronge,CA,2021-12-06 21:30:00,55.1001,-105.2842,-7.35,64,75,2.3,broken clouds,0,0
38,Arraial Do Cabo,BR,2021-12-06 21:30:00,-22.9661,-42.0278,76.86,78,75,12.66,broken clouds,0,0
39,Ancud,CL,2021-12-06 21:30:00,-41.8697,-73.8203,70.43,52,0,3.78,clear sky,0,0
40,Abhar,IR,2021-12-06 21:30:01,36.1468,49.218,37.85,71,0,5.48,clear sky,0,0
41,Ribeira Grande,PT,2021-12-06 21:30:01,38.5167,-28.7,64.8,68,75,16.11,broken clouds,0,0
42,Olafsvik,IS,2021-12-06 21:25:52,64.8945,-23.7142,35.78,95,100,19.55,moderate rain,0,0
43,Muroto,JP,2021-12-06 21:30:02,33.2833,134.15,56.37,64,0,4.59,clear sky,0,0
44,Barrow,US,2021-12-06 21:30:02,71.2906,-156.7887,24.82,74,1,17.27,clear sky,0,0
45,Komsomolskiy,UZ,2021-12-06 21:30:02,40.4272,71.7189,38.12,75,75,4.61,mist,0,0
46,San Isidro,PE,2021-12-06 21:30:03,-12.1167,-77.05,68.25,80,75,1.99,broken clouds,0,0
47,Vardo,NO,2021-12-06 21:26:41,70.3705,31.1107,15.78,86,75,26.46,broken clouds,0,0
48,Upernavik,GL,2021-12-06 21:30:04,72.7868,-56.1549,18.01,93,100,6.22,overcast clouds,0,0
49,Adrar,MR,2021-12-06 21:30:04,20.5022,-10.0711,64.26,16,99,11.32,overcast clouds,0,0
